Đội,Trung vị,Giá trị trung bình ,Độ lệch chuẩn,Giá trị trung bình
Arsenal,0.0,,1.3645163106041502,0.47619047619047616
Arsenal,1.6,,4.28780663210058,3.7142857142857144
Arsenal,1.6,,3.6045209707492933,3.342857142857143
Arsenal,0.11,,0.04326580433276843,0.09947368421052633
Arsenal,0.2,,1.5422772278741093,0.38095238095238093
Arsenal,0.0,,1.5639388613065286,0.2761904761904762
Arsenal,699.0,,735.473679565308,900.6666666666666
Arsenal,785.0,,820.1657439926687,1064.6190476190477
Arsenal,83.7,,6.260149853675724,82.6952380952381
Arsenal,9583.0,,12197.281058849609,14610.142857142857
Arsenal,2564.0,,4680.440434607064,4839.476190476191
Arsenal,306.0,,352.2054054370086,457.95238095238096
Arsenal,342.0,,378.5567957639218,501.6190476190476
Arsenal,90.9,,4.507158327646834,91.06190476190477
Arsenal,229.0,,350.73830971931466,368.4761904761905
Arsenal,267.0,,375.52601837448026,413.76190476190476
Arsenal,85.9,,6.8121949472985595,87.29999999999998
Arsenal,37.0,,50.004618834282745,55.80952380952381
Arsenal,60.0,,102.65067902728119,102.47619047619048
Arsenal,54.3,,13.161173055259024,55.604761904761894
Arsenal,2.0,,3.1380916251153423,2.9523809523809526
Arsenal,1.4,,3.0691165162756837,2.6619047619047618
Arsenal,0.9,,3.225921795172882,2.7428571428571424
Arsenal,0.4,,1.2848753876951502,0.29047619047619044
Arsenal,9.0,,28.935231449698463,24.38095238095238
Arsenal,43.0,,70.97246280206483,72.76190476190476
Arsenal,14.0,,30.35786553761644,26.0
Arsenal,2.0,,3.9357942261348207,3.238095238095238
Arsenal,72.0,,94.09648037545092,99.61904761904762
Arsenal,759.0,,777.2768153103807,988.3809523809524
Arsenal,49.0,,66.18074097643873,72.0952380952381
Arsenal,7.0,,22.549733395108603,20.904761904761905
Arsenal,3.0,,8.315504737995107,4.9523809523809526
Arsenal,2.0,,3.980906812224954,3.0476190476190474
Arsenal,12.0,,45.585450895360616,31.666666666666668
Arsenal,6.0,,51.2112338866237,26.095238095238095
Arsenal,0.0,,27.922170743830414,12.619047619047619
Arsenal,0.0,,23.29449148046236,10.333333333333334
Arsenal,0.0,,0.21821789023599242,0.047619047619047616
Arsenal,0.0,,0.0,0.0
Arsenal,699.0,,735.473679565308,900.6666666666666
Arsenal,3.0,,4.016039271293475,4.142857142857143
Arsenal,11.0,,13.6179153708495,15.047619047619047
Arsenal,28.0,,59.48473193461775,56.333333333333336
Arsenal,2.86,,1.6675145462348333,2.756190476190476
Arsenal,25.0,,46.29362807125836,44.0
Arsenal,1.0,,7.006459604570355,3.9047619047619047
Arsenal,1.0,,3.9230697407102246,2.761904761904762
Arsenal,1.0,,3.2906794782493525,3.142857142857143
Arsenal,1.0,,2.038907270363922,1.5714285714285714
Arsenal,0.0,,1.4309504001254016,0.9523809523809523
Arsenal,5.0,,6.985017980683815,7.238095238095238
Arsenal,0.38,,0.347417684666523,0.40904761904761905
Arsenal,3.0,,5.324248214313364,4.9523809523809526
Arsenal,0.0,,1.1791845447071423,0.7619047619047619
Arsenal,0.0,,0.6690433824641326,0.38095238095238093
Arsenal,0.0,,0.7496030695673289,0.5238095238095238
Arsenal,0.0,,1.0235326314383182,0.6190476190476191
Arsenal,0.0,,0.0,0.0
Arsenal,912.0,,909.0056969804189,1251.4285714285713
Arsenal,25.0,,173.762330840282,93.95238095238095
Arsenal,182.0,,372.35415169662645,318.2857142857143
Arsenal,389.0,,488.0376351607869,536.6666666666666
Arsenal,239.0,,369.7405267790605,405.42857142857144
Arsenal,31.0,,78.20431117089574,70.28571428571429
Arsenal,912.0,,908.7142827198478,1250.952380952381
Arsenal,14.0,,36.87720937691152,31.857142857142858
Arsenal,8.0,,15.078366717159481,13.428571428571429
Arsenal,40.9,,14.383441584435399,43.03157894736842
Arsenal,6.0,,17.543144095683214,14.476190476190476
Arsenal,44.3,,15.471199426544358,46.136842105263156
Arsenal,591.0,,566.7703532590015,769.3333333333334
Arsenal,3077.0,,2933.0779721098775,3833.904761904762
Arsenal,1532.0,,1541.1983849929125,1961.5238095238096
Arsenal,17.0,,42.665531978959535,38.95238095238095
Arsenal,21.0,,24.154266112398684,27.142857142857142
Arsenal,6.0,,23.06636388460788,15.571428571428571
Arsenal,13.0,,21.17894282176566,24.952380952380953
Arsenal,9.0,,18.473275420506912,17.80952380952381
Arsenal,650.0,,667.2956116544851,892.6666666666666
Arsenal,37.0,,130.50259986463325,98.85714285714286
Arsenal,80.0,,7.186627793869601,80.95238095238095
Arsenal,7.0,,12.49647569364678,12.523809523809524
Arsenal,7.0,,5.835033765765118,6.9523809523809526
Arsenal,17.0,,5.643580423808985,16.625
Arsenal,3.0,,8.445906306213285,6.666666666666667
Arsenal,2.34,,0.14735929527777306,2.366190476190476
Arsenal,39.0,,29.35910664269509,47.42857142857143
Arsenal,11.0,,9.677908077777179,15.19047619047619
Arsenal,29.0,,20.230928703113857,32.23809523809524
Arsenal,12.2,,8.971425538367699,14.538095238095236
Arsenal,23.7,,15.831555288636139,25.17142857142857
Arsenal,15.0,,13.709398930938551,18.38095238095238
Arsenal,13.0,,16.96565157408737,18.666666666666668
Arsenal,1.0,,5.2906026301808184,4.095238095238095
Arsenal,12.0,,45.585450895360616,31.666666666666668
Arsenal,0.0,,0.21821789023599242,0.047619047619047616
Arsenal,59.0,,60.381288492379824,83.0
Arsenal,15.0,,28.002891007213965,23.80952380952381
Arsenal,16.0,,24.830376941311606,23.61904761904762
Arsenal,48.8,,21.108868178788594,48.83
Burnley,16.0,,9.346575073708317,20.392857142857142
Burnley,14.0,,10.014539694414582,14.928571428571429
